"Symbol","Security","Sector","Industry","Address","Date"
"JBHT","J. B. Hunt Transport Services","Industrials","Trucking","Lowell, Arkansas","7/1/2015 12:00:00 AM"
"SJM","JM Smucker","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","11/6/2008 12:00:00 AM"
"JNJ","Johnson & Johnson","Health Care","Health Care Equipment","New Brunswick, New Jersey","6/30/1973 12:00:00 AM"
"JCI","Johnson Controls International","Industrials","Building Products","Cork, Ireland","8/27/2010 12:00:00 AM"
"JPM","JPMorgan Chase & Co.","Financials","Diversified Banks","New York, New York","6/30/1975 12:00:00 AM"
"JNPR","Juniper Networks","Information Technology","Communications Equipment","Sunnyvale, California",
"KSU","Kansas City Southern","Industrials","Railroads","Kansas City, Missouri","5/24/2013 12:00:00 AM"
"K","Kellogg Co.","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan",
"KEY","KeyCorp","Financials","Regional Banks","Cleveland, Ohio","3/1/1994 12:00:00 AM"
"KMB","Kimberly-Clark","Consumer Staples","Household Products","Irving, Texas",
"KIM","Kimco Realty","Real Estate","Retail REITs","New Hyde Park, New York","4/4/2006 12:00:00 AM"
"KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","Houston, Texas","5/25/2012 12:00:00 AM"
"KLAC","KLA-Tencor Corp.","Information Technology","Semiconductor Equipment","Milpitas, California",
"KSS","Kohl's Corp.","Consumer Discretionary","General Merchandise Stores","Menomonee Falls, Wisconsin",
"KHC","Kraft Heinz Co","Consumer Staples","Packaged Foods & Meats","Pittsburgh, Pennsylvania","7/6/2015 12:00:00 AM"
"KR","Kroger Co.","Consumer Staples","Food Retail","Cincinnati, Ohio",
"LB","L Brands Inc.","Consumer Discretionary","Apparel Retail","Columbus, Ohio","9/30/1983 12:00:00 AM"
"LLL","L-3 Communications Holdings","Industrials","Aerospace & Defense","New York, New York",
"LH","Laboratory Corp. of America Holding","Health Care","Health Care Services","Burlington, North Carolina","11/1/2004 12:00:00 AM"
"LRCX","Lam Research","Information Technology","Semiconductor Equipment","Fremont, California","6/29/2012 12:00:00 AM"
"LEG","Leggett & Platt","Consumer Discretionary","Home Furnishings","Carthage, Missouri",
"LEN","Lennar Corp.","Consumer Discretionary","Homebuilding","Miami, Florida","10/4/2005 12:00:00 AM"
"LUK","Leucadia National Corp.","Financials","Multi-Sector Holdings","New York, New York","8/27/2007 12:00:00 AM"
"LLY","Lilly (Eli) & Co.","Health Care","Pharmaceuticals","Indianapolis, Indiana","12/31/1970 12:00:00 AM"
"LNC","Lincoln National","Financials","Multi-line Insurance","Radnor, Pennsylvania","6/30/1976 12:00:00 AM"
"LKQ","LKQ Corporation","Consumer Discretionary","Distributors","Chicago, Illinois","5/23/2016 12:00:00 AM"
"LMT","Lockheed Martin Corp.","Industrials","Aerospace & Defense","Bethesda, Maryland","7/31/1984 12:00:00 AM"
"L","Loews Corp.","Financials","Multi-line Insurance","New York, New York",
"LOW","Lowe's Cos.","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","2/29/1984 12:00:00 AM"
"LYB","LyondellBasell","Materials","Specialty Chemicals","Rotterdam, Netherlands","9/5/2012 12:00:00 AM"
"MTB","M&T Bank Corp.","Financials","Regional Banks","Buffalo, New York",
"MAC","Macerich","Real Estate","Retail REITs","Santa Monica, California","5/9/2013 12:00:00 AM"
"M","Macy's Inc.","Consumer Discretionary","Department Stores","Cincinnati, Ohio",
"MRO","Marathon Oil Corp.","Energy","Oil & Gas Exploration & Production","Houston, Texas","5/1/1991 12:00:00 AM"
"MPC","Marathon Petroleum","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","7/1/2011 12:00:00 AM"
"MAR","Marriott Int'l.","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland",
"MMC","Marsh & McLennan","Financials","Insurance Brokers","New York, New York","8/31/1987 12:00:00 AM"
"MLM","Martin Marietta Materials","Materials","Construction Materials","Raleigh, North Carolina","7/2/2014 12:00:00 AM"
"MAS","Masco Corp.","Industrials","Building Products","Taylor, Michigan","6/30/1981 12:00:00 AM"
"MA","Mastercard Inc.","Information Technology","Internet Software & Services","Harrison, New York","7/18/2008 12:00:00 AM"
"MAT","Mattel Inc.","Consumer Discretionary","Leisure Products","El Segundo, California","3/31/1982 12:00:00 AM"
"MKC","McCormick & Co.","Consumer Staples","Packaged Foods & Meats","Sparks, Maryland",
"MCD","McDonald's Corp.","Consumer Discretionary","Restaurants","Oak Brook, Illinois","6/30/1970 12:00:00 AM"
"MCK","McKesson Corp.","Health Care","Health Care Distributors","San Francisco, California",
"MDT","Medtronic plc","Health Care","Health Care Equipment","Dublin, Ireland","10/31/1986 12:00:00 AM"
"MRK","Merck & Co.","Health Care","Pharmaceuticals","Whitehouse Station, New Jersey",
"MET","MetLife Inc.","Financials","Life & Health Insurance","New York, New York",
"MTD","Mettler Toledo","Health Care","Life Sciences Tools & Services","Columbus, Ohio","9/6/2016 12:00:00 AM"
"MGM","MGM Resorts International","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","7/26/2017 12:00:00 AM"
"KORS","Michael Kors Holdings","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","11/13/2013 12:00:00 AM"
"MCHP","Microchip Technology","Information Technology","Semiconductors","Chandler, Arizona","9/7/2007 12:00:00 AM"
"MU","Micron Technology","Information Technology","Semiconductors","Boise, Idaho","9/27/1994 12:00:00 AM"
"MSFT","Microsoft Corp.","Information Technology","Systems Software","Redmond, Washington","6/1/1994 12:00:00 AM"
"MAA","Mid-America Apartments","Real Estate","Residential REITs","Memphis, Tennessee","12/2/2016 12:00:00 AM"
"MHK","Mohawk Industries","Consumer Discretionary","Home Furnishings","Amsterdam, New York","12/23/2013 12:00:00 AM"
"TAP","Molson Coors Brewing Company","Consumer Staples","Brewers","Denver, Colorado","6/30/1976 12:00:00 AM"
"MDLZ","Mondelez International","Consumer Staples","Packaged Foods & Meats","Northfield, Illinois","10/2/2012 12:00:00 AM"
"MON","Monsanto Co.","Materials","Fertilizers & Agricultural Chemicals","Creve Coeur, Missouri","8/7/2002 12:00:00 AM"
"MNST","Monster Beverage","Consumer Staples","Soft Drinks","Corona, California","6/28/2012 12:00:00 AM"
"MCO","Moody's Corp","Financials","Financial Exchanges & Data","New York, New York",
"MS","Morgan Stanley","Financials","Investment Banking & Brokerage","New York, New York",
"MOS","The Mosaic Company","Materials","Fertilizers & Agricultural Chemicals","Plymouth, Minnesota","9/26/2011 12:00:00 AM"
"MSI","Motorola Solutions Inc.","Information Technology","Communications Equipment","Schaumburg, Illinois",
"MYL","Mylan N.V.","Health Care","Pharmaceuticals","Amsterdam, Netherlands","4/23/2004 12:00:00 AM"
"NDAQ","Nasdaq, Inc.","Financials","Financial Exchanges & Data","New York, New York","10/22/2008 12:00:00 AM"
"NOV","National Oilwell Varco Inc.","Energy","Oil & Gas Equipment & Services","Houston, Texas","3/14/2005 12:00:00 AM"
"NAVI","Navient","Financials","Consumer Finance","Wilmington, Delaware","5/1/2014 12:00:00 AM"
"NTAP","NetApp","Information Technology","Internet Software & Services","Sunnyvale, California","6/25/1999 12:00:00 AM"
"NFLX","Netflix Inc.","Information Technology","Internet Software & Services","Los Gatos, California","12/20/2010 12:00:00 AM"
"NWL","Newell Brands","Consumer Discretionary","Housewares & Specialties","Sandy Springs, Georgia","4/30/1989 12:00:00 AM"
"NFX","Newfield Exploration Co","Energy","Oil & Gas Exploration & Production","Houston, Texas","12/20/2010 12:00:00 AM"
"NEM","Newmont Mining Corporation","Materials","Gold","Denver, Colorado","6/30/1969 12:00:00 AM"
"NWSA","News Corp. Class A","Consumer Discretionary","Publishing","New York, New York","8/1/2013 12:00:00 AM"
"NWS","News Corp. Class B","Consumer Discretionary","Publishing","New York, New York","9/18/2015 12:00:00 AM"
"NEE","NextEra Energy","Utilities","Multi-Utilities","Juno Beach, Florida","6/30/1976 12:00:00 AM"
"NLSN","Nielsen Holdings","Industrials","Research & Consulting Services","New York, New York","7/9/2013 12:00:00 AM"
"NKE","Nike","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","11/30/1988 12:00:00 AM"
"NI","NiSource Inc.","Utilities","Multi-Utilities","Merrillville, Indiana",
"NBL","Noble Energy Inc","Energy","Oil & Gas Exploration & Production","Houston, Texas","10/8/2007 12:00:00 AM"
"JWN","Nordstrom","Consumer Discretionary","Department Stores","Seattle, Washington","8/31/1986 12:00:00 AM"
"NSC","Norfolk Southern Corp.","Industrials","Railroads","Norfolk, Virginia",
"NTRS","Northern Trust Corp.","Financials","Asset Management & Custody Banks","Chicago, Illinois",
"NOC","Northrop Grumman Corp.","Industrials","Aerospace & Defense","West Falls Church, Virginia","6/30/1985 12:00:00 AM"
"NCLH","Norwegian Cruise Line","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","10/13/2017 12:00:00 AM"
"NRG","NRG Energy","Utilities","Independent Power Producers & Energy Traders","Princeton, New Jersey","1/29/2010 12:00:00 AM"
"NUE","Nucor Corp.","Materials","Steel","Charlotte, North Carolina","4/30/1985 12:00:00 AM"
"NVDA","Nvidia Corporation","Information Technology","Semiconductors","Santa Clara, California","11/30/2001 12:00:00 AM"
"ORLY","O'Reilly Automotive","Consumer Discretionary","Specialty Stores","Springfield, Missouri","3/27/2009 12:00:00 AM"
"OXY","Occidental Petroleum","Energy","Oil & Gas Exploration & Production","Los Angeles, California","12/31/1982 12:00:00 AM"
"OMC","Omnicom Group","Consumer Discretionary","Advertising","New York, New York",
"OKE","ONEOK","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","3/15/2010 12:00:00 AM"
"ORCL","Oracle Corp.","Information Technology","Application Software","Redwood Shores, California","8/31/1989 12:00:00 AM"
"PCAR","PACCAR Inc.","Industrials","Construction Machinery & Heavy Trucks","Bellevue, Washington","12/31/1980 12:00:00 AM"
"PKG","Packaging Corporation of America","Materials","Paper Packaging","Lake Forest, Illinois","7/26/2017 12:00:00 AM"
"PH","Parker-Hannifin","Industrials","Industrial Machinery","Cleveland, Ohio","11/30/1985 12:00:00 AM"
"PDCO","Patterson Companies","Health Care","Health Care Supplies","St. Paul, Minnesota","10/11/2005 12:00:00 AM"
"PAYX","Paychex Inc.","Information Technology","Internet Software & Services","Penfield, New York",
"PYPL","PayPal","Information Technology","Data Processing & Outsourced Services","San Jose, California","7/20/2015 12:00:00 AM"
"PNR","Pentair Ltd.","Industrials","Industrial Machinery","Worsley, UK","10/1/2012 12:00:00 AM"
"PBCT","People's United Financial","Financials","Thrifts & Mortgage Finance","Bridgeport, Connecticut","11/13/2008 12:00:00 AM"
"PEP","PepsiCo Inc.","Consumer Staples","Soft Drinks","Purchase, New York",
"PKI","PerkinElmer","Health Care","Health Care Equipment","Waltham, Massachusetts","5/31/1985 12:00:00 AM"
"PRGO","Perrigo","Health Care","Pharmaceuticals","Dublin, Ireland","12/19/2011 12:00:00 AM"
"PFE","Pfizer Inc.","Health Care","Pharmaceuticals","New York, New York",
"PCG","PG&E Corp.","Utilities","Multi-Utilities","San Francisco, California",
"PM","Philip Morris International","Consumer Staples","Tobacco","New York, New York","3/31/2008 12:00:00 AM"
"PSX","Phillips 66","Energy","Oil & Gas Refining & Marketing","Houston, Texas","5/1/2012 12:00:00 AM"
"PNW","Pinnacle West Capital","Utilities","Multi-Utilities","Phoenix, Arizona",
"PXD","Pioneer Natural Resources","Energy","Oil & Gas Exploration & Production","Irving, Texas","9/24/2008 12:00:00 AM"
"PNC","PNC Financial Services","Financials","Regional Banks","Pittsburgh, Pennsylvania","4/30/1988 12:00:00 AM"
"RL","Polo Ralph Lauren Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2/2/2007 12:00:00 AM"
"PPG","PPG Industries","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania",
"PPL","PPL Corp.","Utilities","Electric Utilities","Allentown, Pennsylvania",
"PX","Praxair Inc.","Materials","Industrial Gases","Danbury, Connecticut","7/1/1992 12:00:00 AM"
"PCLN","Priceline.com Inc","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","11/6/2009 12:00:00 AM"
"PFG","Principal Financial Group","Financials","Life & Health Insurance","Des Moines, Iowa","7/22/2002 12:00:00 AM"
"PG","Procter & Gamble","Consumer Staples","Personal Products","Cincinnati, Ohio",
"PGR","Progressive Corp.","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","8/4/1997 12:00:00 AM"
"PLD","Prologis","Real Estate","Industrial REITs","San Francisco, California","7/17/2003 12:00:00 AM"
"PRU","Prudential Financial","Financials","Life & Health Insurance","Newark, New Jersey","7/22/2002 12:00:00 AM"
"PEG","Public Serv. Enterprise Inc.","Utilities","Electric Utilities","Newark, New Jersey",
"PSA","Public Storage","Real Estate","Specialized REITs","Glendale, California","8/19/2005 12:00:00 AM"
"PHM","Pulte Homes Inc.","Consumer Discretionary","Homebuilding","Atlanta, Georgia","4/30/1984 12:00:00 AM"
"PVH","PVH Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2/15/2013 12:00:00 AM"
"QRVO","Qorvo","Information Technology","Semiconductors","Greensboro, North Carolina","6/11/2015 12:00:00 AM"
"PWR","Quanta Services Inc.","Industrials","Construction & Engineering","Houston, Texas","7/1/2009 12:00:00 AM"
"QCOM","QUALCOMM Inc.","Information Technology","Semiconductors","San Diego, California",
"DGX","Quest Diagnostics","Health Care","Health Care Services","Madison, New Jersey","12/12/2002 12:00:00 AM"
"RRC","Range Resources Corp.","Energy","Oil & Gas Exploration & Production","Fort Worth, Texas","12/21/2007 12:00:00 AM"
"RJF","Raymond James Financial Inc.","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","3/20/2017 12:00:00 AM"
"RTN","Raytheon Co.","Industrials","Aerospace & Defense","Waltham, Massachusetts",
"O","Realty Income Corporation","Real Estate","Retail REITs","San Diego, California","4/7/2015 12:00:00 AM"
"RHT","Red Hat Inc.","Information Technology","Systems Software","Raleigh, North Carolina","7/27/2009 12:00:00 AM"
"REG","Regency Centers Corporation","Real Estate","Retail REITs","Jacksonville, Florida","3/2/2017 12:00:00 AM"
"REGN","Regeneron","Health Care","Biotechnology","Tarrytown, New York","5/1/2013 12:00:00 AM"
"RF","Regions Financial Corp.","Financials","Regional Banks","Birmingham, Alabama","8/28/1998 12:00:00 AM"
"RSG","Republic Services Inc","Industrials","Environmental & Facilities Services","Phoenix, Arizona","12/5/2008 12:00:00 AM"
"RMD","ResMed","Health Care","Health Care Equipment","San Diego, California","7/26/2017 12:00:00 AM"
"RHI","Robert Half International","Industrials","Human Resource & Employment Services","Menlo Park, California","12/5/2000 12:00:00 AM"
"ROK","Rockwell Automation Inc.","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin",
"COL","Rockwell Collins","Industrials","Aerospace & Defense","Cedar Rapids, Iowa","7/2/2001 12:00:00 AM"
"ROP","Roper Technologies","Industrials","Industrial Conglomerates","Sarasota, Florida","12/23/2009 12:00:00 AM"
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Pleasanton, California","12/21/2009 12:00:00 AM"
"RCL","Royal Caribbean Cruises Ltd","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","12/5/2014 12:00:00 AM"
"CRM","Salesforce.com","Information Technology","Internet Software & Services","San Francisco, California","9/15/2008 12:00:00 AM"
"SBAC","SBA Communications","Real Estate","Specialized REITs","Boca Raton, Florida","9/1/2017 12:00:00 AM"
"SCG","SCANA Corp","Utilities","Multi-Utilities","Cayce, South Carolina","1/2/2009 12:00:00 AM"
"SLB","Schlumberger Ltd.","Energy","Oil & Gas Equipment & Services","Cura?ao, Kingdom of the Netherlands","3/31/1965 12:00:00 AM"
"SNI","Scripps Networks Interactive Inc.","Consumer Discretionary","Cable & Satellite","Cincinnati, Ohio","7/1/2008 12:00:00 AM"
"STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","7/2/2012 12:00:00 AM"
"SEE","Sealed Air","Materials","Paper Packaging","Elmwood Park, New Jersey",
"SRE","Sempra Energy","Utilities","Multi-Utilities","San Diego, California",
"SHW","Sherwin-Williams","Materials","Specialty Chemicals","Cleveland, Ohio","6/30/1964 12:00:00 AM"
"SIG","Signet Jewelers","Consumer Discretionary","Specialty Stores","Hamilton, Bermuda","7/29/2015 12:00:00 AM"
"SPG","Simon Property Group Inc","Real Estate","Retail REITs","Indianapolis, Indiana","6/26/2002 12:00:00 AM"
"SWKS","Skyworks Solutions","Information Technology","Semiconductors","Woburn, Massachusetts","3/12/2015 12:00:00 AM"
"SLG","SL Green Realty","Real Estate","Office REITs","New York, New York","3/20/2015 12:00:00 AM"
"SNA","Snap-On Inc.","Consumer Discretionary","Household Appliances","Kenosha, Wisconsin","9/30/1982 12:00:00 AM"
"SO","Southern Co.","Utilities","Electric Utilities","Atlanta, Georgia",
"LUV","Southwest Airlines","Industrials","Airlines","Dallas, Texas","7/1/1994 12:00:00 AM"
"SPGI","S&P Global, Inc.","Financials","Financial Exchanges & Data","New York, New York",
"SWK","Stanley Black & Decker","Consumer Discretionary","Household Appliances","New Britain, Connecticut","9/30/1982 12:00:00 AM"
"SBUX","Starbucks Corp.","Consumer Discretionary","Restaurants","Seattle, Washington",
"STT","State Street Corp.","Financials","Asset Management & Custody Banks","Boston, Massachusetts",
"SRCL","Stericycle Inc","Industrials","Environmental & Facilities Services","Lake Forest, Illinois","11/19/2008 12:00:00 AM"
"SYK","Stryker Corp.","Health Care","Health Care Equipment","Kalamazoo, Michigan","12/12/2000 12:00:00 AM"
"STI","SunTrust Banks","Financials","Regional Banks","Atlanta, Georgia","5/31/1988 12:00:00 AM"
"SYMC","Symantec Corp.","Information Technology","Application Software","Mountain View, California","3/25/2003 12:00:00 AM"
"SYF","Synchrony Financial","Financials","Consumer Finance","Stamford, Connecticut","11/18/2015 12:00:00 AM"
"SNPS","Synopsys Inc.","Information Technology","Application Software","Mountain View, California","3/16/2017 12:00:00 AM"
"SYY","Sysco Corp.","Consumer Staples","Food Distributors","Houston, Texas","12/31/1986 12:00:00 AM"
"TROW","T. Rowe Price Group","Financials","Asset Management & Custody Banks","Baltimore, Maryland",
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York",
"TGT","Target Corp.","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","12/31/1976 12:00:00 AM"
"TEL","TE Connectivity Ltd.","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","10/17/2011 12:00:00 AM"
"FTI","TechnipFMC","Energy","Oil & Gas Equipment & Services","London, United Kingdom","6/5/2009 12:00:00 AM"
"TXN","Texas Instruments","Information Technology","Semiconductors","Dallas, Texas",
"TXT","Textron Inc.","Industrials","Aerospace & Defense","Providence, Rhode Island","12/31/1978 12:00:00 AM"
"TMO","Thermo Fisher Scientific","Health Care","Health Care Equipment","Waltham, Massachusetts",
"TIF","Tiffany & Co.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","6/21/2000 12:00:00 AM"
"TWX","Time Warner Inc.","Consumer Discretionary","Cable & Satellite","New York, New York",
"TJX","TJX Companies Inc.","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","9/30/1985 12:00:00 AM"
"TMK","Torchmark Corp.","Financials","Life & Health Insurance","McKinney, Texas","4/30/1989 12:00:00 AM"
"TSS","Total System Services","Information Technology","Internet Software & Services","Columbus, Georgia","1/2/2008 12:00:00 AM"
"TSCO","Tractor Supply Company","Consumer Discretionary","Specialty Stores","Brentwood, Tennessee","1/24/2014 12:00:00 AM"
"TDG","TransDigm Group","Industrials","Aerospace & Defense","Cleveland, Ohio","6/3/2016 12:00:00 AM"
"TRV","The Travelers Companies Inc.","Financials","Property & Casualty Insurance","New York, New York","8/21/2002 12:00:00 AM"
"TRIP","TripAdvisor","Consumer Discretionary","Internet & Direct Marketing Retail","Newton, Massachusetts","12/21/2011 12:00:00 AM"
"FOXA","Twenty-First Century Fox Class A","Consumer Discretionary","Publishing","New York, New York","7/1/2013 12:00:00 AM"
"FOX","Twenty-First Century Fox Class B","Consumer Discretionary","Publishing","New York, New York","9/18/2015 12:00:00 AM"
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas",
"UDR","UDR Inc","Real Estate","Residential REITs","Highlands Ranch, Colorado","3/7/2016 12:00:00 AM"
"ULTA","Ulta Salon Cosmetics & Fragrance Inc","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","4/18/2016 12:00:00 AM"
"USB","U.S. Bancorp","Financials","Diversified Banks","Minneapolis, Minnesota",
"UA","Under Armour Class C","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","5/1/2014 12:00:00 AM"
"UAA","Under Armour Class A","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","3/25/2016 12:00:00 AM"
"UNP","Union Pacific","Industrials","Railroads","Omaha, Nebraska",
"UAL","United Continental Holdings","Industrials","Airlines","Chicago, Illinois","9/3/2015 12:00:00 AM"
"UNH","United Health Group Inc.","Health Care","Managed Health Care","Minnetonka, Minnesota","7/1/1994 12:00:00 AM"
"UPS","United Parcel Service","Industrials","Air Freight & Logistics","Atlanta, Georgia","7/22/2002 12:00:00 AM"
"URI","United Rentals, Inc.","Industrials","Trading Companies & Distributors","Stamford, Connecticut","9/20/2014 12:00:00 AM"
"UTX","United Technologies","Industrials","Aerospace & Defense","Hartford, Connecticut",
"UHS","Universal Health Services, Inc.","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","9/20/2014 12:00:00 AM"
"UNM","Unum Group","Financials","Life & Health Insurance","Chattanooga, Tennessee","3/1/1994 12:00:00 AM"
"VFC","V.F. Corp.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Greensboro, North Carolina","6/30/1979 12:00:00 AM"
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas",
"VAR","Varian Medical Systems","Health Care","Health Care Equipment","Palo Alto, California","2/12/2007 12:00:00 AM"
"VTR","Ventas Inc","Real Estate","Health Care REITs","Chicago, Illinois","3/4/2009 12:00:00 AM"
"VRSN","Verisign Inc.","Information Technology","Internet Software & Services","Dulles, Virginia","2/1/2006 12:00:00 AM"
"VRSK","Verisk Analytics","Industrials","Research & Consulting Services","Jersey City, New Jersey","10/8/2015 12:00:00 AM"
"VZ","Verizon Communications","Telecommunication Services","Integrated Telecommunication Services","New York, New York","11/30/1983 12:00:00 AM"
"VRTX","Vertex Pharmaceuticals Inc","Health Care","Biotechnology","Cambridge, Massachusetts","9/23/2013 12:00:00 AM"
"VIAB","Viacom Inc.","Consumer Discretionary","Cable & Satellite","New York, New York",
"V","Visa Inc.","Information Technology","Internet Software & Services","San Francisco, California","12/21/2009 12:00:00 AM"
"VNO","Vornado Realty Trust","Real Estate","Office REITs","New York, New York",
"VMC","Vulcan Materials","Materials","Construction Materials","Birmingham, Alabama","6/30/1999 12:00:00 AM"
"WMT","Wal-Mart Stores","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","8/31/1982 12:00:00 AM"
"WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","Deerfield, Illinois","12/31/1979 12:00:00 AM"
"DIS","The Walt Disney Company","Consumer Discretionary","Cable & Satellite","Burbank, California","6/30/1976 12:00:00 AM"
"WM","Waste Management Inc.","Industrials","Environmental & Facilities Services","Houston, Texas",
"WAT","Waters Corporation","Health Care","Health Care Distributors","Milford, Massachusetts",
"WEC","Wec Energy Group Inc","Utilities","Electric Utilities","Milwaukee, Wisconsin","10/31/2008 12:00:00 AM"
"WFC","Wells Fargo","Financials","Diversified Banks","San Francisco, California","6/30/1976 12:00:00 AM"
"HCN","Welltower Inc.","Real Estate","Health Care REITs","Toledo, Ohio","1/30/2009 12:00:00 AM"
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","Irvine, California","7/1/2009 12:00:00 AM"
"WU","Western Union Co","Information Technology","Internet Software & Services","Englewood, Colorado",
"WRK","WestRock Company","Materials","Paper Packaging","Richmond, Virginia",
"WY","Weyerhaeuser Corp.","Real Estate","Specialized REITs","Federal Way, Washington",
"WHR","Whirlpool Corp.","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan",
"WMB","Williams Cos.","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","3/31/1975 12:00:00 AM"
"WLTW","Willis Towers Watson","Financials","Insurance Brokers","London, United Kingdom","1/5/2016 12:00:00 AM"
"WYN","Wyndham Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",
"WYNN","Wynn Resorts Ltd","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","11/14/2008 12:00:00 AM"
"XEL","Xcel Energy Inc","Utilities","Multi-Utilities","Minneapolis, Minnesota",
"XRX","Xerox Corp.","Information Technology","Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",
"XLNX","Xilinx Inc","Information Technology","Semiconductors","San Jose, California","11/8/1999 12:00:00 AM"
"XL","XL Capital","Financials","Property & Casualty Insurance","Hamilton, Bermuda",
"XYL","Xylem Inc.","Industrials","Industrial Machinery","White Plains, New York","11/1/2011 12:00:00 AM"
"YUM","Yum! Brands Inc","Consumer Discretionary","Restaurants","Louisville, Kentucky","10/6/1997 12:00:00 AM"
"ZBH","Zimmer Biomet Holdings","Health Care","Health Care Equipment","Warsaw, Indiana","8/7/2001 12:00:00 AM"
"ZION","Zions Bancorp","Financials","Regional Banks","Salt Lake City, Utah",
"ZTS","Zoetis","Health Care","Pharmaceuticals","Florham Park, New Jersey","6/21/2013 12:00:00 AM"
